Date,Time,Open,High,Low,Close,Volume,
2012.12.06,0:00,1.3066,1.3086,1.295,1.2969,12486,
2012.12.07,0:00,1.2969,1.2974,1.2876,1.2924,11825,
2012.12.10,0:00,1.2888,1.2946,1.2886,1.294,10273,
2012.12.11,0:00,1.294,1.3014,1.2928,1.3005,10696,
2012.12.12,0:00,1.3005,1.3096,1.2995,1.3073,10164,
2012.12.13,0:00,1.3073,1.31,1.304,1.3076,10178,
2012.12.14,0:00,1.3077,1.3173,1.3066,1.3161,12104,
2012.12.17,0:00,1.3166,1.3187,1.3144,1.3162,10661,
2012.12.18,0:00,1.3163,1.3238,1.3155,1.3228,10145,
2012.12.19,0:00,1.3229,1.3308,1.3222,1.3227,12341,
2012.12.20,0:00,1.3226,1.3295,1.3188,1.3244,13776,
2012.12.21,0:00,1.3243,1.3252,1.3158,1.3182,14470,
2012.12.24,0:00,1.3173,1.3233,1.3167,1.3177,7360,
2012.12.26,0:00,1.3179,1.3254,1.3174,1.3223,8371,
2012.12.27,0:00,1.3224,1.3283,1.3201,1.3236,11227,
2012.12.28,0:00,1.3235,1.3256,1.3165,1.322,14363,
2012.12.31,0:00,1.3206,1.3234,1.3172,1.3185,10346,
2013.01.02,0:00,1.3203,1.3299,1.3157,1.3185,21492,
2013.01.03,0:00,1.3186,1.319,1.3046,1.3048,13488,
2013.01.04,0:00,1.3049,1.3089,1.2997,1.3074,16407,
2013.01.07,0:00,1.3075,1.3119,1.3016,1.3116,13524,
2013.01.08,0:00,1.3116,1.3139,1.3056,1.308,15109,
2013.01.09,0:00,1.308,1.3096,1.3036,1.3063,14182,
2013.01.10,0:00,1.3063,1.3272,1.3038,1.3271,16103,
2013.01.11,0:00,1.3268,1.3365,1.3248,1.334,15613,
2013.01.14,0:00,1.3361,1.3404,1.3336,1.3381,16910,
2013.01.15,0:00,1.3382,1.3393,1.3263,1.3304,18649,
2013.01.16,0:00,1.3304,1.3324,1.3256,1.3288,17357,
2013.01.17,0:00,1.3288,1.3387,1.3269,1.3376,15074,
2013.01.18,0:00,1.3376,1.3398,1.328,1.3317,19419,
2013.01.21,0:00,1.331,1.3332,1.33,1.3312,10627,
2013.01.22,0:00,1.3312,1.3371,1.3266,1.3321,18198,
2013.01.23,0:00,1.3322,1.3354,1.3264,1.3317,11389,
2013.01.24,0:00,1.3317,1.3392,1.3286,1.3376,16782,
2013.01.25,0:00,1.3375,1.3479,1.3349,1.3457,18837,
2013.01.28,0:00,1.3464,1.3477,1.3424,1.3454,12801,
2013.01.29,0:00,1.3455,1.3497,1.3414,1.3491,15346,
2013.01.30,0:00,1.349,1.3587,1.3482,1.3566,15213,
2013.01.31,0:00,1.3564,1.3594,1.3541,1.3577,14654,
2013.02.01,0:00,1.3577,1.3711,1.3572,1.3649,21822,
2013.02.04,0:00,1.36439,1.36587,1.35041,1.35124,168995,
2013.02.05,0:00,1.35124,1.35964,1.34573,1.35816,228587,
2013.02.06,0:00,1.35816,1.35949,1.34923,1.35204,199310,
2013.02.07,0:00,1.3521,1.35766,1.33694,1.33968,232568,
2013.02.08,0:00,1.33958,1.34282,1.33523,1.33637,160866,
2013.02.11,0:00,1.33658,1.34265,1.3356,1.34033,147104,
2013.02.12,0:00,1.34034,1.34746,1.33629,1.34518,180054,
2013.02.13,0:00,1.34513,1.35189,1.34252,1.3451,165342,
2013.02.14,0:00,1.3451,1.34547,1.33142,1.33608,175629,
2013.02.15,0:00,1.33608,1.33923,1.33054,1.33628,178477,
2013.02.18,0:00,1.33472,1.33784,1.33205,1.33495,111154,
2013.02.19,0:00,1.33496,1.3395,1.33277,1.33875,143283,
2013.02.20,0:00,1.33869,1.3433,1.32699,1.32818,187251,
2013.02.21,0:00,1.32814,1.32886,1.31599,1.31881,202562,
2013.02.22,0:00,1.31873,1.32443,1.3144,1.3185,168157,
2013.02.25,0:00,1.32144,1.3318,1.30467,1.30601,252471,
2013.02.26,0:00,1.30614,1.3122,1.30172,1.30617,268457,
2013.02.27,0:00,1.3062,1.3146,1.30404,1.31353,212778,
2013.02.28,0:00,1.31334,1.31607,1.3052,1.30564,171737,
2013.03.01,0:00,1.30564,1.31,1.29654,1.30203,191525,
2013.03.04,0:00,1.3007,1.30301,1.29812,1.30241,137426,
2013.03.05,0:00,1.30241,1.30743,1.30091,1.30489,143136,
2013.03.06,0:00,1.30489,1.30695,1.29627,1.29646,120823,
2013.03.07,0:00,1.29656,1.31173,1.29646,1.31071,183435,
2013.03.08,0:00,1.31073,1.31335,1.29543,1.30007,169919,
2013.03.11,0:00,1.29956,1.30527,1.29783,1.3045,114152,
2013.03.12,0:00,1.3045,1.30736,1.299,1.30269,162897,
2013.03.13,0:00,1.30273,1.30638,1.29223,1.29593,167001,
2013.03.14,0:00,1.29592,1.30316,1.29103,1.30019,174343,
2013.03.15,0:00,1.30025,1.31061,1.29983,1.30722,166352,
