Date,Time,Open,High,Low,Close,Volume
2012.04.05,0:00,1620.55,1633.45,1619.65,1631,49991
2012.04.09,0:00,1642.4,1648.7,1635.45,1640,43503
2012.04.10,0:00,1640.85,1662.9,1631.7,1659.65,65974
2012.04.11,0:00,1659.1,1662.55,1652.7,1658.75,54717
2012.04.12,0:00,1658.85,1680,1650.25,1675.5,57877
2012.04.13,0:00,1675,1677.85,1649.2,1656.05,61274
2012.04.16,0:00,1653.85,1657.85,1641.15,1651.65,62746
2012.04.17,0:00,1652.35,1657.35,1634.4,1649.35,56357
2012.04.18,0:00,1649.65,1654.2,1637.7,1642,52396
2012.04.19,0:00,1641.75,1653.65,1630.8,1642.65,64513
2012.04.20,0:00,1642.2,1647.15,1638.4,1642.35,44371
2012.04.23,0:00,1640.9,1643.15,1623.1,1638.65,55264
2012.04.24,0:00,1638.2,1649.15,1633.85,1641.9,46482
2012.04.25,0:00,1641.3,1646.55,1624.25,1643.35,56461
2012.04.26,0:00,1643.4,1661,1641.55,1657.2,44603
2012.04.27,0:00,1655.8,1667.5,1650.4,1663.7,43520
2012.04.30,0:00,1662.55,1665.85,1644.6,1664.35,42089
2012.05.01,0:00,1664.65,1671.3,1656.65,1662.2,42540
2012.05.02,0:00,1661.85,1662.95,1645.9,1653.25,46196
2012.05.03,0:00,1652.9,1653.45,1631,1635.7,52896
2012.05.04,0:00,1635.7,1647.25,1626.45,1642,52189
2012.05.07,0:00,1640.2,1642.4,1631.95,1638.2,39019
2012.05.08,0:00,1638.2,1638.9,1595.3,1605.3,67934
2012.05.09,0:00,1604.95,1606.15,1578.85,1589.35,70680
2012.05.10,0:00,1589.25,1601.9,1585.5,1593.75,49520
2012.05.11,0:00,1593.3,1594.9,1572.75,1581.2,52624
2012.05.14,0:00,1584.2,1585.6,1555.85,1556.5,86776
2012.05.15,0:00,1556.75,1564.1,1541.35,1543.85,65989
2012.05.16,0:00,1544.55,1552.05,1526.9,1539.55,170982
2012.05.17,0:00,1538.65,1579.8,1538.25,1573.95,96221
2012.05.18,0:00,1574.3,1597.45,1567.8,1591.4,69075
2012.05.21,0:00,1592.7,1599.05,1584.7,1592.9,64511
2012.05.22,0:00,1592.8,1594.25,1561.55,1568.45,86892
2012.05.23,0:00,1567.3,1568.5,1533.15,1561.05,119853
2012.05.24,0:00,1560.8,1577.9,1551.35,1558.85,99128
2012.05.25,0:00,1557.55,1573.95,1551.15,1572.8,72100
2012.05.28,0:00,1574.35,1583.8,1572.45,1575.25,31556
2012.05.29,0:00,1574.3,1582.65,1547.9,1554.8,85057
2012.05.30,0:00,1553.95,1569.45,1531.45,1563.2,116715
2012.05.31,0:00,1562.7,1573.05,1552.05,1560.15,132081
2012.06.01,0:00,1559.95,1630.3,1544.65,1622.05,154065
2012.06.04,0:00,1625.45,1627.95,1608.75,1618.65,87846
2012.06.05,0:00,1618.7,1623.45,1611.75,1616.75,75475
2012.06.06,0:00,1616.8,1640.8,1613.15,1619,103747
2012.06.07,0:00,1619.85,1628.9,1578.35,1588.9,186644
2012.06.08,0:00,1588.65,1594.7,1554.7,1594.5,110284
2012.06.11,0:00,1601.5,1607.7,1581.65,1596.35,99196
2012.06.12,0:00,1596,1617.4,1585.65,1609.55,86219
2012.06.13,0:00,1609.4,1624.65,1605.85,1616.8,77335
2012.06.14,0:00,1617.75,1627.9,1609.25,1623.45,89141
2012.06.15,0:00,1622.4,1633.95,1619.65,1625.9,70109
2012.06.18,0:00,1628.8,1630.1,1606.3,1627.85,89267
2012.06.19,0:00,1626.9,1633.25,1617.25,1618.2,61472
2012.06.20,0:00,1617.8,1622.7,1589.9,1607.15,100825
2012.06.21,0:00,1606.15,1606.95,1564.25,1566,97628
2012.06.22,0:00,1564.75,1573.4,1558.05,1572.7,64399
2012.06.25,0:00,1571.7,1588.2,1566.2,1584.2,70293
2012.06.26,0:00,1585.85,1587.1,1567.5,1572.65,61610
2012.06.27,0:00,1571.5,1583.5,1562.55,1574.1,73527
2012.06.28,0:00,1573.7,1578.85,1548.05,1552.55,105747
2012.06.29,0:00,1551.15,1606.85,1550.85,1598.3,100059
2012.07.02,0:00,1598.25,1602.35,1587.1,1596.8,60363
2012.07.03,0:00,1596.8,1624.7,1594.65,1617.2,68274
2012.07.04,0:00,1616.75,1620.2,1611.45,1614.75,25049
2012.07.05,0:00,1615.5,1623.75,1597.35,1604.3,49783
2012.07.06,0:00,1604.55,1609.7,1576.25,1583.8,32299
2012.07.09,0:00,1580.2,1592.7,1578.85,1587.35,22648
2012.07.10,0:00,1588.75,1601.25,1564.5,1567.05,27061
2012.07.11,0:00,1565.75,1583.15,1565.7,1576.1,29251
2012.07.12,0:00,1576.55,1577.85,1555.05,1571.85,31555
2012.07.13,0:00,1571.2,1596.7,1565.7,1588.25,24424
2012.07.16,0:00,1590.6,1594.7,1577.95,1589.15,23703
2012.07.17,0:00,1588.35,1598.85,1571.4,1583.05,28521
2012.07.18,0:00,1583,1585.9,1567.55,1573.25,27569
2012.07.19,0:00,1573.2,1591.45,1572.65,1581.1,26747
2012.07.20,0:00,1581.4,1587,1573.5,1583.95,25348
2012.07.23,0:00,1580.05,1582.6,1563.1,1576.55,31742
2012.07.24,0:00,1576.4,1584.3,1568.85,1581.15,34130
2012.07.25,0:00,1580.25,1610.15,1578.6,1604.1,28675
2012.07.26,0:00,1604.55,1621.55,1601.1,1615.2,28803
2012.07.27,0:00,1615.15,1629.4,1611.5,1623.8,28565
2012.07.30,0:00,1623.7,1624.85,1614.4,1621.85,19379
2012.07.31,0:00,1621.7,1627.9,1610.8,1614.1,28426
2012.08.01,0:00,1613.6,1618.35,1591.85,1599.45,28749
2012.08.02,0:00,1599.25,1615.15,1584.35,1588.2,35699
2012.08.03,0:00,1588,1606.55,1585.6,1602.8,26638
2012.08.06,0:00,1604.3,1615.3,1602.05,1610.4,20271
2012.08.07,0:00,1610.15,1618.35,1608.65,1612,21583
2012.08.08,0:00,1611.75,1616.6,1603.2,1611.95,23798
2012.08.09,0:00,1612.15,1618.15,1609.55,1617.05,29373
2012.08.10,0:00,1617.2,1626.4,1605.35,1620.55,35631
2012.08.13,0:00,1621.1,1625.5,1607.35,1609.5,35129
2012.08.14,0:00,1609.7,1616.25,1590.7,1598.75,34964
2012.08.15,0:00,1598.7,1606.35,1589.85,1602.9,37775
2012.08.16,0:00,1603.25,1618.8,1600.7,1614.75,23699
2012.08.17,0:00,1614.1,1620.4,1611.55,1616.15,23892
2012.08.20,0:00,1615.75,1622.35,1609.65,1620.25,19954
2012.08.21,0:00,1620.15,1641.3,1618.45,1637.7,24721
2012.08.22,0:00,1637.65,1655.85,1634.35,1654.25,29222
2012.08.23,0:00,1653.1,1674.8,1652.4,1670.35,32972
2012.08.24,0:00,1670.1,1673.7,1662.5,1669.6,28104
2012.08.27,0:00,1672.2,1676.65,1663,1663.8,21517
2012.08.28,0:00,1663.4,1672.15,1656.8,1666.65,29068
2012.08.29,0:00,1666.1,1669.75,1652.15,1656.25,26357
2012.08.30,0:00,1655.9,1663.9,1650.95,1655.3,23564
2012.08.31,0:00,1655.1,1692.9,1645.9,1691.9,37650
2012.09.03,0:00,1690.9,1693.8,1685.3,1692.9,18488
2012.09.04,0:00,1692,1698.85,1687.85,1695.5,36413
2012.09.05,0:00,1694.85,1695.8,1687.3,1692.8,26963
2012.09.06,0:00,1693.05,1713.8,1691.4,1700.3,42160
2012.09.07,0:00,1701.25,1741.95,1688.95,1736.5,43113
2012.09.10,0:00,1735,1739.95,1724.7,1725.9,32634
2012.09.11,0:00,1725.8,1737.9,1725.5,1731.75,25039
2012.09.12,0:00,1731.85,1746.95,1725.2,1730.45,38182
2012.09.13,0:00,1730.75,1772.5,1716.6,1766.55,53344
2012.09.14,0:00,1766.6,1777.7,1765.4,1771.85,47392
2012.09.17,0:00,1770.9,1776.3,1754.2,1761.15,31164
2012.09.18,0:00,1761.7,1773.2,1752.05,1771.7,38421
2012.09.19,0:00,1770.7,1779.25,1762.05,1770.2,35555
2012.09.20,0:00,1769.7,1771.95,1755.55,1768.2,37792
2012.09.21,0:00,1767.15,1787.35,1766.55,1773.15,42533
2012.09.24,0:00,1771.25,1772.2,1755.45,1764.15,35347
2012.09.25,0:00,1763.4,1774.8,1758.65,1760.45,33419
2012.09.26,0:00,1759.95,1765.45,1736.2,1752.55,24529
2012.09.27,0:00,1753.25,1780.15,1751,1777,38831
2012.09.28,0:00,1776.85,1783.1,1767.15,1773.4,42415
2012.10.01,0:00,1770.35,1791.5,1763.25,1775.1,58558
2012.10.02,0:00,1775.9,1784.2,1770.3,1774.25,46817
2012.10.03,0:00,1773.15,1781.65,1770.75,1777.85,35721
2012.10.04,0:00,1777.45,1795.05,1777.4,1790.2,42494
2012.10.05,0:00,1790,1795.8,1772.85,1780.8,41361
2012.10.08,0:00,1779.45,1779.65,1766.45,1774.7,32918
2012.10.09,0:00,1775.65,1779.55,1760.35,1764,40431
2012.10.10,0:00,1764.15,1768.05,1756.8,1762.1,33079
2012.10.11,0:00,1762.8,1774.75,1758.45,1767,33733
2012.10.12,0:00,1767.75,1773.2,1752.05,1754.35,34967
2012.10.15,0:00,1753.8,1753.8,1728.3,1737.1,53188
2012.10.16,0:00,1736.65,1748.1,1734.55,1747.25,40204
2012.10.17,0:00,1747.85,1753.4,1742.65,1749.8,43122
2012.10.18,0:00,1749.65,1752,1737.95,1741.1,42511
2012.10.19,0:00,1741,1743.25,1716.05,1722.15,50917
2012.10.22,0:00,1718.9,1729.35,1713.2,1728.35,43430
2012.10.23,0:00,1729,1729.9,1703.75,1707.45,51423
2012.10.24,0:00,1707,1714.3,1698.45,1701.7,53176
2012.10.25,0:00,1701.45,1717.85,1701.3,1711.7,43238
2012.10.26,0:00,1710.7,1718.7,1700.6,1711.95,52361
2012.10.29,0:00,1710.75,1717.1,1705.85,1709.15,33951
2012.10.30,0:00,1709.2,1715.05,1704.75,1709.35,24641
2012.10.31,0:00,1711.55,1725.85,1711.05,1720.4,26819
2012.11.01,0:00,1719.7,1726.85,1713.55,1714,38475
2012.11.02,0:00,1714.95,1716.85,1674.35,1677.85,52957
2012.11.05,0:00,1676.2,1686.15,1672.5,1684.7,41533
2012.11.06,0:00,1685.05,1720.8,1683.45,1715.7,46656
2012.11.07,0:00,1715.35,1732.1,1703,1717.4,80302
2012.11.08,0:00,1716.65,1734.95,1712.6,1731.15,52743
2012.11.09,0:00,1730.75,1738.7,1726.95,1731.15,54187
2012.11.12,0:00,1730.75,1737.85,1725.6,1728.05,38245
2012.11.13,0:00,1727.5,1732.8,1717.75,1724.7,50024
2012.11.14,0:00,1724.35,1733.9,1720.55,1726.45,46630
2012.11.15,0:00,1726.15,1727.8,1704.6,1715.55,55300
2012.11.16,0:00,1715.3,1717.1,1705.6,1711.75,47477
2012.11.19,0:00,1714.3,1735.45,1714.05,1731.4,43981
2012.11.20,0:00,1730.05,1735.5,1722.05,1726.8,48020
2012.11.21,0:00,1727.3,1731.8,1719.7,1728.55,42534
2012.11.22,0:00,1728.55,1732.45,1728.15,1730.05,18767
2012.11.23,0:00,1729.85,1754.25,1727.9,1750.55,67098
2012.11.26,0:00,1751,1752.05,1745.8,1748.4,79160
